decimalLatitude,decimalLongitude,eventDate,species,label
35.5,-76.5,2005-07-26T11:09:31/2006-05-11T20:24:24,Green Sea Turtle,1
30.436,-167.646,1997-06-17T19:44,Green Sea Turtle,1
40.181,149.439,2011-10-08T01:28,Green Sea Turtle,1
36.268,-177.337,2011-12-20T10:00,Green Sea Turtle,1
39.64402,-0.21161,2018-07-15T18:51:00+00:00,Green Sea Turtle,1
40.402,5.739,2016-11-20T10:27:00+00:00,Green Sea Turtle,1
-38.93594,36.81598,2012-03-24T14:00:18,Green Sea Turtle,1
40.869,140.299,2011-09-06T13:59,Green Sea Turtle,1
35.517,15.047,2018-02-21T14:15:00+00:00,Green Sea Turtle,1
28.5,-85.5,1999-07-22T19:44:37/2000-08-04T06:58:21,Green Sea Turtle,1
40.98,3.026,2016-10-29T13:53:00+00:00,Green Sea Turtle,1
29.965834,-80.522033,2011-04-09T16:06,Green Sea Turtle,1
36.76123,-75.41143,2011-05-29T19:14:35,Green Sea Turtle,1
21.5,-41.5,2010-01-27T20:29:12/2010-01-28T02:50:29,Green Sea Turtle,1
39.25,-73.376,2018-08-15T15:55:46,Green Sea Turtle,1
33.5,34.5,2007-08-16T08:32:00/2008-01-09T20:57:36,Green Sea Turtle,1
29.52807,-80.36709,2019-06-23T16:19:38,Green Sea Turtle,1
37.147,-169.509,2012-07-02T19:19,Green Sea Turtle,1
37.992,5.218,2018-01-18T15:50:00+00:00,Green Sea Turtle,1
35.27,-161.845,1998-11-12T19:14,Green Sea Turtle,1
18.26758,58.61174,2012-06-02T05:35:03,Green Sea Turtle,1
33.942368,-76.705816,2009-02-07T10:03,Green Sea Turtle,1
33.253,164.327,2004-11-02T17:41:43,Green Sea Turtle,1
33.721446,-76.814439,2008-03-13T11:59,Green Sea Turtle,1
43.108,171.408,2012-08-31T07:28,Green Sea Turtle,1
35.623,155.312,2010-06-27T11:55,Green Sea Turtle,1
32.384,-150.381,2003-03-12T18:08:29,Green Sea Turtle,1
39.793,158.018,2010-11-12T13:47,Green Sea Turtle,1
37.224,133.804,2011-11-17T13:21,Green Sea Turtle,1
43.14639,3.73264,2017-05-27T14:01:00+00:00,Green Sea Turtle,1
37.93,23.555,2011-09-04T02:56:53,Green Sea Turtle,1
30.838,-154.355,2004-03-31T18:49:21,Green Sea Turtle,1
-35.8833,27.44444,2012-11-18T17:16:31,Green Sea Turtle,1
32.8529,-16.96,2008-04-22T15:20:00+00:00,Green Sea Turtle,1
43.338,172.684,2010-12-19T06:28,Green Sea Turtle,1
40.046021,-72.493637,2016-08-19T08:09:37,Green Sea Turtle,1
34.336,-168.559,2000-08-18T18:46,Green Sea Turtle,1
30.029,130.839,2008-05-22T13:17:06,Green Sea Turtle,1
36.746,149.828,2010-06-21T11:19,Green Sea Turtle,1
33.388,17.829,2018-03-24T08:02:00+00:00,Green Sea Turtle,1
35.8,154.112,2007-12-16T05:44,Green Sea Turtle,1
32.593,171.75,2012-01-30T18:11,Green Sea Turtle,1
39.5,-50.5,2014-12-19T09:28:19/2015-04-19T11:58:08,Green Sea Turtle,1
33.993,-174.077,2012-03-04T19:41,Green Sea Turtle,1
37.45,-25.37,2000-06-30T10:51:00Z/2000-06-30T10:51:00Z,Green Sea Turtle,1
28.359617,-80.043333,1997-09-10,Green Sea Turtle,1
34.047,-179.916,2012-03-02T20:25,Green Sea Turtle,1
36.182,19.026,2018-03-20T08:49:00+00:00,Green Sea Turtle,1
43.985,144.568,2011-10-08T00:28,Green Sea Turtle,1
41.073,153.267,2010-10-22T05:55,Green Sea Turtle,1
38.18115,-74.9011,2011-05-25T14:25:43,Green Sea Turtle,1
-19.49884,53.04055,2011-08-25T08:40:46,Green Sea Turtle,1
29.328,-166.885,1997-05-24T13:01,Green Sea Turtle,1
37.011,11.234,2018-02-25T10:03:00+00:00,Green Sea Turtle,1
37.7611,6.1757,2017-11-29T09:44:00+00:00,Green Sea Turtle,1
10.40029,57.53007,2011-01-23T14:00:16,Green Sea Turtle,1
-21.94,113.931,2023-12-09T21:29:20Z,Green Sea Turtle,1
39.546,166.071,2010-12-04T08:02,Green Sea Turtle,1
32.176,178.346,2000-12-18T04:31,Green Sea Turtle,1
32.396,175.854,2008-03-27T08:54,Green Sea Turtle,1
35.2353,-3.9217,2018-12-30T04:48:00+00:00,Green Sea Turtle,1
35.382,-156.484,2007-05-28T17:22,Green Sea Turtle,1
35.307,-171.991,2004-06-29T18:19:07,Green Sea Turtle,1
38.266,12.255,2018-04-01T13:30:00+00:00,Green Sea Turtle,1
37.95,-29.32,2000-05-15T09:00:00Z/2000-05-15T09:00:00Z,Green Sea Turtle,1
36.542,157.83,2004-11-10T19:44:24,Green Sea Turtle,1
37.6575,1.1534,2018-07-03T18:31:00+00:00,Green Sea Turtle,1
38.05,-74.4,1980-09-12T11:27:00,Green Sea Turtle,1
-9.49509,50.31223,2011-10-30T13:02:16,Green Sea Turtle,1
-21.99,113.95,2024-04-07T16:36:23Z,Green Sea Turtle,1
-37.01165,23.93374,2012-09-09T05:29:21,Green Sea Turtle,1
36.85055,-75.236109,2014-04-04T11:35,Green Sea Turtle,1
37.7546,-24.4304,2011-06-23T16:37:00Z/2011-06-23T16:37:00Z,Green Sea Turtle,1
39.5,-74.5,2013-06-02T19:27:06/2014-09-10T19:59:58,Green Sea Turtle,1
34.606,176.574,2010-03-18T20:53,Green Sea Turtle,1
38.047,18.384,2018-05-31T09:00:00+00:00,Green Sea Turtle,1
14.5,-77.5,2004-07-22T22:42:12/2004-07-23T16:18:36,Green Sea Turtle,1
37.205,141.742,2010-08-03T04:22,Green Sea Turtle,1
-21.983,113.949,2024-03-15T10:59:32Z,Green Sea Turtle,1
38.139,-166.144,1998-10-10T07:34,Green Sea Turtle,1
25.325,121.478,2004-04-16T22:17:55,Green Sea Turtle,1
34.061,14.856,2018-03-26T06:32:00+00:00,Green Sea Turtle,1
43.209,-175.711,2012-09-04T09:18,Green Sea Turtle,1
36.75,171.802,2012-01-19T16:33,Green Sea Turtle,1
35.353001,25.304001,2011-07-19T02:24:03,Green Sea Turtle,1
38.666,-141.375,2013-06-07T12:03,Green Sea Turtle,1
-21.35309,55.13445,2010-10-20T07:26:22,Green Sea Turtle,1
39.853,-173.627,2012-07-05T18:33,Green Sea Turtle,1
-18.84688,53.16144,2010-11-24T16:10:44,Green Sea Turtle,1
-21.951,113.929,2023-11-20T08:31:16Z,Green Sea Turtle,1
37.76,7.167,2017-12-07T13:49:00+00:00,Green Sea Turtle,1
-19.28937,50.9863,2009-03-17T16:27:10,Green Sea Turtle,1
37.792,167.176,2001-07-31T09:39,Green Sea Turtle,1
43.975,145.445,2011-10-04T04:40,Green Sea Turtle,1
38.5551,0.3509,2017-12-17T21:32:00+00:00,Green Sea Turtle,1
38.803,171.394,2012-05-26T16:30,Green Sea Turtle,1
-18.46086,52.87541,2011-01-08T04:48:28,Green Sea Turtle,1
37.496,2.639,2017-12-08T09:06:00+00:00,Green Sea Turtle,1
38.26762,-74.46022,2013-07-31T17:51:00,Green Sea Turtle,1
38.35329,-74.5868,2011-07-28T14:58:07,Green Sea Turtle,1
37.167,-75.583,1965-10,Green Sea Turtle,1
11.2781,-73.8647,2018-06-01/2018-08-10,Green Sea Turtle,1
30.03276,-80.58401,2019-06-22T15:00:26,Green Sea Turtle,1
23.534,119.005,2011-06-29T02:01:55,Green Sea Turtle,1
38.29557,-74.63082,2014-08-01T12:08:58,Green Sea Turtle,1
36.73485,-75.628025,2013-08-19T10:24:47,Green Sea Turtle,1
39.598,171.253,2010-08-06T07:08,Green Sea Turtle,1
24.6665,-82.7681,NA,Green Sea Turtle,1
40.145917,1.222817,2003-03-20T00:00:00,Green Sea Turtle,1
33.755,137.985,2007-12-03T14:10,Green Sea Turtle,1
11.257,-73.79,2021-05-03,Green Sea Turtle,1
40.172,-154.205,2003-09-23T18:26:12,Green Sea Turtle,1
12.12944,55.35308,2012-01-21T07:52:47,Green Sea Turtle,1
36.23,12.622,2018-02-21T12:38:00+00:00,Green Sea Turtle,1
17.88673,55.7743,2011-06-03T02:43:50,Green Sea Turtle,1
43.104,151.807,2010-09-07T12:49,Green Sea Turtle,1
27.966483,-80.069633,1998-08-07,Green Sea Turtle,1
-37.95611,46.87467,2011-03-15T09:02:17,Green Sea Turtle,1
11.257,-73.79,2016-06-11/2016-07-16,Green Sea Turtle,1
36.951019,-74.696869,2019-10-25T14:08,Green Sea Turtle,1
